============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
Paternal aunt | عَمَّةٌ |
Paternal aunts | عَمَّاتُ |
Paternal uncle | عم |
Paternal uncles | أَعْمَامٌ |
Person/companion | صَاحِبٌ |
Prisoner (pl) | أَسْرَى |
Prisoner | أسير |
Reason | سبب |
Relative pronouns | الأَسْمَاءُ الْمَوْصُولَةُ |
Relative | قَرِيبٌ |
Relatives | أَقْرِبَاءُ |
Sisters | أَخَوَاتُ |
Three daughters | ثلاث بنات |
Three sons | ثلاثة أَبْنَاء |
To visit (a sick person) | لعِيادَة |
Your(sing.m) brother | أَخُوكَ |
aunt | عمة | 'ammah
brother | أَخ (أَخُو، أَخَا، أَخِي)
brothers | إِخْوَان
child | وَلَد (pl: أَوْلَاد)
cousin (female) | بنت عم | bint 'amm
cousin (male) | ابن عم | ibn 'amm
daughter | بنت | bint
descendants; children | ذُرِّيَّة
family / relatives | أهل
family | عائلة | 'a'ila
father | أَب (pl: آبَاء)
father | وَالِد (dl: وَالِدَيْن)
grandfather | جد | jadd
grandmother | جدة | jaddah
husband | زوج | zawj
mother | أُمّ (pl: أُمَّهَات)
relatives / people | آل
sister | أخت | ukht
son | ابْن
sons | بَنُونَ، بَنِينَ، أَبْنَاء
uncle | عم | 'amm
wife | زوجة | zawjah
wife; husband | زَوْج (pl: أَزْوَاج)

============================================================
# FOOD & DRINK (44 words)
============================================================

A fish | سمك |
Bananas | موز |
Earth/soil | تُرَابُ |
Fruit seller | فَاكِهَانِي |
Fruits | فَوَاكِهُ |
Grapes | عِنَبُ |
Head teacher | موجه |
Lunch/dinner | غَدَاءٌ |
Price | ثَمْنٌ |
Steam | بُخَارٌ |
Sweetmeat | حَلْوَى |
Sweetmeats | حَلاوَى |
Tea cup | فنجان |
Tea cups | فَنَاجِينُ |
Teacher | مدرس |
Teacher/ Professor | أسْتَاذُ |
Teachers (f.pl) | مُدَرِّسَات |
Teachers | مُدَرِّسُوْنَ |
Team | فَرِيقٌ |
Teams | فُرَقَاءُ |
Toilet | مرحاض |
Toilets | مَرَاحِيْضُ |
apple | تفاح | tuffah
banana | موز | mawz
bread | خبز | khubz
breakfast | فطور | futur
coffee | قهوة | qahwa
dinner | عشاء | 'asha'
fish | سمك | samak
